,RespSex,Q6_1,age_dv,marstat2,religion_dv,workstat2,wimd_2014_quintile
155094,1,3.0,6,1,3.0,1.0,4
155095,2,4.0,6,1,1.0,2.0,3
155096,1,4.0,5,2,1.0,2.0,3
155097,2,2.0,7,1,1.0,3.0,3
155098,2,2.0,4,1,1.0,1.0,5
155099,1,1.0,1,2,1.0,3.0,5
155100,2,3.0,3,2,3.0,3.0,4
155101,1,1.0,3,1,1.0,1.0,5
155102,1,1.0,3,2,3.0,1.0,5
155103,2,1.0,3,1,1.0,1.0,5
155104,1,2.0,4,1,1.0,1.0,5
155105,1,4.0,6,1,1.0,2.0,4
155107,1,2.0,5,1,1.0,1.0,5
155108,2,2.0,5,1,1.0,2.0,3
155109,1,1.0,4,1,1.0,1.0,5
155111,1,2.0,4,2,3.0,1.0,5
155113,1,1.0,1,2,1.0,3.0,4
155114,2,1.0,1,2,1.0,1.0,5
155115,2,2.0,6,1,1.0,2.0,4
155116,2,1.0,6,1,1.0,2.0,4
155117,1,3.0,2,2,1.0,1.0,4
155118,1,1.0,1,2,3.0,1.0,5
155119,1,4.0,5,1,1.0,2.0,4
155120,1,1.0,2,2,1.0,1.0,5
155121,2,2.0,2,2,3.0,1.0,5
155122,2,4.0,7,2,3.0,2.0,3
155123,2,2.0,3,1,3.0,3.0,5
155124,2,1.0,1,2,1.0,3.0,3
155125,1,2.0,1,2,3.0,3.0,5
155126,1,5.0,6,1,1.0,3.0,4
155127,2,2.0,3,2,1.0,1.0,4
155128,1,2.0,4,1,3.0,1.0,5
155129,2,1.0,4,1,3.0,1.0,5
155130,1,,2,2,,,5
155131,1,1.0,1,2,3.0,3.0,4
155132,1,2.0,4,1,2.0,1.0,5
155133,1,1.0,1,2,1.0,1.0,4
155134,1,2.0,5,2,,1.0,4
155135,2,1.0,4,1,1.0,1.0,5
155136,1,1.0,3,2,3.0,1.0,4
155137,2,,1,2,,,4
155138,1,1.0,2,2,3.0,1.0,5
155139,1,1.0,5,1,1.0,1.0,4
155140,2,2.0,2,2,3.0,1.0,4
155142,2,2.0,4,1,1.0,1.0,5
155143,2,1.0,2,1,1.0,1.0,5
155144,2,2.0,4,1,1.0,1.0,5
155145,1,4.0,6,2,,3.0,4
155146,1,2.0,4,2,1.0,3.0,3
155147,1,4.0,4,2,3.0,1.0,3
155149,2,2.0,6,1,1.0,1.0,4
155151,2,2.0,6,2,1.0,3.0,3
155152,1,1.0,4,2,1.0,1.0,4
155153,2,2.0,5,1,1.0,1.0,4
155154,2,4.0,5,1,3.0,2.0,4
155155,2,1.0,1,2,1.0,3.0,4
155156,2,5.0,5,2,3.0,3.0,3
155158,2,3.0,4,2,,3.0,4
155159,2,3.0,4,1,1.0,2.0,4
155160,2,1.0,1,2,3.0,3.0,4
155162,2,2.0,7,1,1.0,2.0,4
155163,2,3.0,7,2,1.0,2.0,4
155164,1,3.0,3,1,1.0,1.0,4
155165,1,2.0,6,1,1.0,2.0,4
155166,1,1.0,4,2,,1.0,5
155167,1,2.0,6,2,1.0,2.0,4
155168,2,1.0,1,2,1.0,1.0,5
155169,2,4.0,5,1,3.0,3.0,3
155170,2,1.0,6,1,1.0,2.0,5
155171,2,4.0,4,1,1.0,3.0,4
155172,2,1.0,3,1,1.0,1.0,5
155173,2,2.0,4,1,1.0,1.0,5
155174,1,2.0,3,1,2.0,1.0,5
155175,1,3.0,4,1,1.0,1.0,4
155176,2,3.0,7,2,1.0,2.0,3
155177,1,2.0,7,1,1.0,2.0,5
155178,2,1.0,5,1,1.0,2.0,5
155179,2,2.0,7,2,1.0,2.0,4
155180,2,1.0,2,1,3.0,1.0,5
155181,2,3.0,5,1,1.0,2.0,4
155182,2,2.0,1,2,1.0,1.0,5
155184,2,2.0,2,2,3.0,1.0,4
155186,2,3.0,6,1,1.0,2.0,4
155187,2,1.0,1,2,1.0,1.0,5
155188,1,3.0,6,1,1.0,2.0,4
155189,1,1.0,4,1,3.0,3.0,3
155190,2,1.0,4,1,1.0,1.0,5
155191,2,1.0,3,1,1.0,1.0,5
155192,2,1.0,1,2,3.0,3.0,5
155193,1,1.0,2,2,1.0,1.0,5
155194,2,4.0,5,1,1.0,2.0,4
155196,2,1.0,1,2,1.0,1.0,5
155197,1,2.0,1,2,3.0,1.0,3
155198,1,2.0,6,1,1.0,2.0,5
155202,2,3.0,5,2,,3.0,3
155203,1,1.0,3,1,3.0,1.0,4
155205,1,1.0,1,2,1.0,1.0,5
155206,1,1.0,4,1,3.0,1.0,5
155207,1,1.0,3,1,1.0,1.0,4
155208,2,1.0,2,2,1.0,1.0,4
155209,2,1.0,4,1,1.0,1.0,5
155210,2,2.0,3,2,3.0,1.0,5
155211,2,2.0,5,2,1.0,2.0,3
155212,2,2.0,6,1,1.0,2.0,3
155214,2,1.0,1,2,3.0,3.0,5
155215,1,1.0,3,2,1.0,1.0,3
155217,1,1.0,2,2,1.0,1.0,4
155218,1,2.0,2,2,,1.0,4
155219,1,2.0,5,1,1.0,1.0,4
155221,2,2.0,1,2,3.0,3.0,4
155222,1,3.0,5,2,1.0,3.0,4
155223,2,3.0,6,1,,2.0,3
155224,1,1.0,1,2,1.0,1.0,5
155225,1,3.0,6,1,1.0,2.0,4
155226,2,1.0,1,2,1.0,3.0,5
155227,1,1.0,1,2,3.0,1.0,4
155228,1,2.0,5,1,1.0,1.0,4
155229,2,1.0,5,2,1.0,2.0,5
155232,1,1.0,4,2,1.0,1.0,3
155233,2,4.0,3,2,1.0,3.0,3
155234,2,3.0,7,2,1.0,2.0,4
155235,1,1.0,1,2,3.0,3.0,4
155237,1,2.0,1,2,3.0,11.0,5
155239,1,4.0,5,1,,3.0,3
155241,1,1.0,1,2,1.0,3.0,5
155242,2,2.0,6,1,1.0,2.0,4
155243,2,2.0,2,2,1.0,1.0,5
155245,2,1.0,3,1,1.0,1.0,5
155246,2,2.0,4,2,1.0,1.0,5
155247,1,4.0,7,1,1.0,2.0,3
155248,2,2.0,2,1,1.0,1.0,5
155249,1,3.0,6,2,1.0,3.0,3
155250,1,2.0,1,2,3.0,1.0,5
155251,2,2.0,3,2,1.0,1.0,5
155252,2,2.0,6,1,1.0,2.0,5
155253,1,2.0,5,1,1.0,1.0,5
155254,2,2.0,5,1,3.0,2.0,4
155255,1,1.0,5,2,1.0,1.0,5
155256,1,1.0,1,2,3.0,1.0,5
155258,1,1.0,1,2,3.0,3.0,3
155260,2,2.0,7,1,1.0,2.0,4
155261,1,1.0,5,1,1.0,1.0,5
155263,1,2.0,6,2,1.0,2.0,5
155264,2,2.0,3,2,3.0,1.0,5
155265,1,2.0,5,1,,1.0,5
155266,2,3.0,7,2,1.0,2.0,3
155267,1,1.0,5,1,1.0,1.0,5
155268,2,1.0,3,2,3.0,1.0,5
155269,2,1.0,5,2,3.0,2.0,4
155270,1,1.0,5,2,1.0,1.0,3
155271,1,2.0,6,1,1.0,1.0,4
155272,1,1.0,2,1,1.0,1.0,5
155274,2,1.0,4,2,1.0,1.0,4
155275,2,4.0,7,2,1.0,2.0,3
155276,1,1.0,2,2,1.0,3.0,5
155277,1,1.0,2,2,1.0,1.0,5
155278,2,1.0,3,2,,3.0,4
155279,1,1.0,5,1,1.0,1.0,5
155280,2,2.0,2,2,1.0,3.0,5
155281,2,1.0,5,1,1.0,1.0,5
155282,1,1.0,6,2,1.0,2.0,4
155283,2,1.0,4,2,3.0,1.0,5
155285,2,2.0,3,1,1.0,1.0,4
155286,2,3.0,6,1,1.0,2.0,4
