,Q6_1,RespSex,age_dv,marstat2,religion_dv,source,wimd_2014_quintile,workstat2
5953,,2,,1.0,3.0,survey,,
5966,,2,,1.0,1.0,survey,,
5971,,2,,2.0,3.0,survey,,
5972,,1,,1.0,3.0,survey,,
5975,,1,,1.0,1.0,survey,,
5980,,2,,2.0,1.0,survey,,
5982,,2,,2.0,1.0,survey,,
5984,,2,,1.0,3.0,survey,,
5990,,1,,2.0,1.0,survey,,
5992,,2,,1.0,1.0,survey,,
5993,,2,,1.0,1.0,survey,,
5994,,1,,2.0,3.0,survey,,
5997,,1,,1.0,3.0,survey,,
6008,,1,,2.0,1.0,survey,,
6011,,2,,2.0,3.0,survey,,
6015,,2,,1.0,1.0,survey,,
6017,,2,,1.0,3.0,survey,,
6021,,2,,2.0,3.0,survey,,
6029,,1,,2.0,3.0,survey,,
6039,,1,,2.0,3.0,survey,,
6040,,1,,2.0,3.0,survey,,
6045,,2,,2.0,3.0,survey,,
6053,,2,,1.0,1.0,survey,,
6059,,2,,1.0,1.0,survey,,
6092,,1,,1.0,2.0,survey,,
6100,,1,,1.0,1.0,survey,,
6102,,1,,2.0,2.0,survey,,
6104,,2,,2.0,1.0,survey,,
6105,,1,,2.0,3.0,survey,,
6115,,2,,2.0,3.0,survey,,
6119,,2,,2.0,1.0,survey,,
6148,,1,,1.0,3.0,survey,,
6149,,2,,2.0,1.0,survey,,
6153,,2,,2.0,1.0,survey,,
6154,,2,,2.0,3.0,survey,,
6163,,2,,2.0,1.0,survey,,
6164,,1,,1.0,1.0,survey,,
6177,,2,,2.0,1.0,survey,,
6188,,2,,1.0,1.0,survey,,
6190,,2,,2.0,3.0,survey,,
6191,,2,,2.0,1.0,survey,,
6199,,1,,1.0,1.0,survey,,
6203,,2,,2.0,1.0,survey,,
6218,,1,,1.0,3.0,survey,,
6221,,2,,2.0,1.0,survey,,
6224,,2,,2.0,1.0,survey,,
6230,,2,,2.0,3.0,survey,,
6258,,1,,1.0,1.0,survey,,
6265,,2,,1.0,3.0,survey,,
6273,,2,,1.0,1.0,survey,,
6275,,1,,2.0,1.0,survey,,
6276,,2,,2.0,1.0,survey,,
6294,,2,,2.0,3.0,survey,,
6299,,2,,1.0,1.0,survey,,
6302,,2,,1.0,3.0,survey,,
6307,,2,,2.0,3.0,survey,,
6312,,2,,1.0,3.0,survey,,
6320,,2,,2.0,1.0,survey,,
6322,,2,,2.0,1.0,survey,,
